id,region_id,lat,lng,title,geotype_id
303015864,1,49.819830,36.059891,Мерефа,2
303015967,2,49.962674,33.620772,Миргород,1
303016059,3,49.660396,31.005282,Миронівка,2
303016108,23,48.074080,38.886781,Міусинськ,2
303016327,4,48.441215,27.802913,Могилів-Подільський,1
303016415,23,48.344899,39.643314,Молодогвардійськ,2
303016423,9,47.202136,35.602873,Молочанськ,2
303016460,14,49.089177,25.166332,Монастириська,2
303016463,18,48.985893,29.811728,Монастирище,2
303016523,21,49.153154,23.870202,Моршин,1
303016551,15,47.879226,38.063923,Моспине,2
303016552,21,49.795178,23.146357,Мостиська,2
303016642,6,48.443024,22.717693,Мукачеве,1
303016806,24,48.629647,24.576064,Надвірна,2
303016980,13,51.033777,31.874839,Ніжин,1
303017023,4,48.973544,28.847348,Немирів,2
303017089,7,50.338114,26.639657,Нетішин,1
303017262,21,49.522235,23.985045,Миколаїв,2
303017267,19,46.937866,31.987450,Миколаїв,1
303017343,15,48.855761,37.768392,Миколаївка,2
303017409,12,47.592119,34.373156,Нікополь,1
303017510,10,46.751668,33.361352,Нова Каховка,1
303017540,19,47.294354,31.782691,Нова Одеса,2
303017594,13,52.016183,33.259345,Новгород-Сіверський,2
303017626,15,47.118816,38.076935,Новоазовськ,2
303017776,22,50.735254,24.170733,Нововолинськ,1
303017794,5,50.581162,27.619285,Новоград-Волинський,1
303017833,15,48.210023,37.329664,Новогродівка,1
303017867,25,48.578207,27.440873,Новодністровськ,1
303017874,23,48.971314,38.339538,Новодружеськ,2
303018073,17,48.799349,31.628150,Новомиргород,2
303018099,12,48.636997,35.229712,Новомосковськ,1
303018346,25,48.219753,26.268185,Новоселиця,2
303018596,17,48.311602,31.521664,Новоукраїнка,2
303018659,21,49.932314,23.571807,Новояворівськ,2
303018715,19,47.685823,32.507156,Новий Буг,2
303018733,21,49.541460,23.271145,Новий Калинів,2
303018766,21,49.457062,24.121796,Новий Розділ,1
303018810,13,50.929470,31.583940,Носівка,2
303018880,3,50.113792,30.647846,Обухів,1
303018905,5,51.327367,28.804848,Овруч,2
303018950,11,46.465968,30.711667,Одеса,1
303019094,5,51.226418,27.648336,Олевськ,2
303019359,12,47.653065,34.085116,Покров,1
303019384,9,47.570253,35.774911,Оріхів,2
303019552,13,50.950140,30.880275,Остер,2
303019603,20,50.330923,26.516653,Острог,1
303019693,19,46.621364,31.540284,Очаків,1
303019811,12,48.530114,35.886466,Павлоград,1
303020102,23,48.628635,38.544694,Первомайськ,1
303020105,19,48.040601,30.854117,Первомайськ,1
303020106,1,49.373468,36.212120,Первомайський,1
303020150,23,48.434659,38.812513,Перевальськ,2
303020258,21,49.665181,24.561061,Перемишляни,2
303020296,6,48.735629,22.470001,Перечин,2
303020299,12,49.016181,35.352152,Перещепине,2
303020301,3,50.064740,31.449107,Переяслав-Хмельницький,1
303020344,12,48.348302,36.398016,Першотравенськ,1
303020618,23,48.300109,38.874649,Петрово-Красносілля,2
303020754,1,49.879398,36.067071,Південне,2
303020845,2,50.239006,32.496444,Пирятин,2
303021073,4,49.487936,29.273028,Погребище,2
303021125,14,49.269218,25.123375,Підгайці,2
303021169,12,48.575970,35.102815,Підгородне,2
303021491,9,47.477137,36.288070,Пологи,2
303021506,7,50.124797,27.507703,Полонне,2
303021513,2,49.602247,34.558002,Полтава,1
303021594,17,48.243903,31.406345,Помічна,2
303021609,23,48.631943,38.361921,Попасна,2
303021784,14,50.007941,25.510571,Почаїв,2
303021885,23,48.999265,38.294566,Привілля,2
303021959,13,50.586721,32.379434,Прилуки,1
303021967,9,46.730014,36.366744,Приморськ,2
303021993,3,51.394586,30.084059,Прип'ять,1
303022233,21,49.715388,23.901323,Пустомити,2
303022240,16,51.337951,33.860658,Путивль,2
303022338,12,48.410771,33.699127,П'ятихатки,2
303022355,21,50.226985,23.630157,Рава-Руська,2
303022391,21,50.279614,24.639155,Радехів,2
303022421,5,50.494183,29.251657,Радомишль,2
303022452,20,50.124761,25.260401,Радивилів,2
303022499,11,46.848606,30.079390,Роздільна,2
303022678,6,48.054798,24.212570,Рахів,2
303022751,11,45.444468,28.274399,Рені,2
303022803,3,49.961297,31.063801,Ржищів,1
303022824,23,48.069161,39.353376,Ровеньки,1
303022830,20,50.610874,26.247321,Рівне,1
303022869,24,49.408821,24.619633,Рогатин,2
303022909,15,48.351949,37.215732,Родинське,2
303022945,22,50.913545,25.271924,Рожище,2
303023094,16,50.745268,33.484105,Ромни,1
303023192,23,49.005824,38.388529,Рубіжне,1
303023261,21,49.651289,23.486737,Рудки,2
303023640,8,45.130832,33.608077,Саки,1
