OBJECTNUMBER,SOATO,NAMEOBJECT,NAME,NAMEREGION,NAMEDISTR
26117,9000001001,Березинский биосферный,Заповедник,Минская,
26118,9000002001,Беловежская пуща,Национальный парк,Брестская,
26119,9000002002,Браславские озера,Национальный парк,Витебская,Браславский
26120,9000002003,Припятский,Национальный парк,Гомельская,
26122,9000003002,Стронга,Заказник республиканского значения,Брестская,Барановичский
26123,9000003003,Бусловка,Заказник республиканского значения,Брестская,Берёзовский
26124,9000003004,Споровский,Заказник республиканского значения,Брестская,Берёзовский
26126,9000003006,Борский,Заказник республиканского значения,Брестская,Ганцевичский
26127,9000003007,Выгонощанское,Заказник республиканского значения,Брестская,Ганцевичский
26128,9000003008,Еловский,Заказник республиканского значения,Брестская,Ганцевичский
26129,9000003009,Званец,Заказник республиканского значения,Брестская,Дрогичинский
26130,9000003010,Радостовский,Заказник республиканского значения,Брестская,Дрогичинский
26135,9000003011,Лунинский,Заказник республиканского значения,Брестская,Лунинецкий
26139,9000003014,Луково,Заказник республиканского значения,Брестская,Малоритский
26141,9000003016,Простырь,Заказник республиканского значения,Брестская,Пинский
26142,9000003017,Тырвовичи,Заказник республиканского значения,Брестская,Пинский
26144,9000003018,Дикое,Заказник республиканского значения,Брестская,Пружанский
26146,9000003020,Ружанская пуща,Заказник республиканского значения,Брестская,Пружанский
26147,9000003021,Ольманские болота,Заказник республиканского значения,Брестская,Столинский
26148,9000003022,Заболотье,Заказник республиканского значения,Витебская,Браславский
26149,9000003023,Межозерный,Заказник республиканского значения,Витебская,Браславский
26150,9000003024,Ричи,Заказник республиканского значения,Витебская,Браславский
26151,9000003025,Красный Бор,Заказник республиканского значения,Витебская,Россонский
26152,9000003026,Освейский,Заказник республиканского значения,Витебская,Верхнедвинский
26153,9000003027,Запольский,Заказник республиканского значения,Витебская,Витебский
26154,9000003028,Мошно,Заказник республиканского значения,Витебская,Витебский
26155,9000003029,Чистик,Заказник республиканского значения,Витебская,Витебский
26156,9000003030,Белое,Заказник республиканского значения,Витебская,Глубокский
26157,9000003031,Долгое,Заказник республиканского значения,Витебская,Глубокский
26158,9000003032,Сервечь,Заказник республиканского значения,Витебская,Докшицкий
26159,9000003033,Корытенский Мох,Заказник республиканского значения,Витебская,Городокский
26160,9000003034,Верхневилейский,Заказник республиканского значения,Витебская,Докшицкий
26161,9000003035,Бабиновичский,Заказник республиканского значения,Витебская,Лиозненский
26162,9000003036,Болото Мох,Заказник республиканского значения,Витебская,Миорский
26163,9000003037,Ельня,Заказник республиканского значения,Витебская,Миорский
26166,9000003040,Лонно,Заказник республиканского значения,Витебская,Полоцкий
26167,9000003041,Козьянский,Заказник республиканского значения,Витебская,Полоцкий
26168,9000003042,Швакшты,Заказник республиканского значения,Витебская,Поставский
26169,9000003043,Синьша,Заказник республиканского значения,Витебская,Россонский
26171,9000003045,Кривое,Заказник республиканского значения,Витебская,Ушачский
26172,9000003046,Селява,Заказник республиканского значения,Минская,Крупский
26173,9000003047,Сосно,Заказник республиканского значения,Витебская,Шумилинский
26174,9000003048,Буда-Кошелевский,Заказник республиканского значения,Гомельская,Буда-Кошелевский
26178,9000003052,Ленинский,Заказник республиканского значения,Гомельская,Житковичский
26179,9000003053,Стрельский,Заказник республиканского значения,Гомельская,Калинковичский
26181,9000003055,Букчанский,Заказник республиканского значения,Гомельская,Лельчицкий
26182,9000003056,Мозырские овраги,Заказник республиканского значения,Гомельская,Мозырский
26183,9000003057,Бабинец,Заказник республиканского значения,Гомельская,Октябрьский
26184,9000003058,Чирковичский,Заказник республиканского значения,Гомельская,Светлогорский
26186,9000003060,Замковый лес,Заказник республиканского значения,Гродненская,Волковысский
26187,9000003061,Гожевский,Заказник республиканского значения,Гродненская,Гродненский
26188,9000003062,Озеры,Заказник республиканского значения,Гродненская,Гродненский
26189,9000003063,Поречский,Заказник республиканского значения,Гродненская,Гродненский
26190,9000003064,Сопоцкинский,Заказник республиканского значения,Гродненская,Гродненский
26191,9000003065,Медухово,Заказник республиканского значения,Гродненская,Зельвенский
26192,9000003066,Налибокский,Заказник республиканского значения,Минская,Воложинский
26193,9000003067,Миранка,Заказник республиканского значения,Гродненская,Кореличский
26194,9000003068,Докудовский,Заказник республиканского значения,Гродненская,Лидский
26195,9000003069,Новогрудский,Заказник республиканского значения,Гродненская,Новогрудский
26196,9000003070,Свитязянский,Заказник республиканского значения,Гродненская,Новогрудский
26197,9000003071,Сорочанские озера,Заказник республиканского значения,Гродненская,Островецкий
26198,9000003072,Слонимский,Заказник республиканского значения,Гродненская,Слонимский
26199,9000003073,Дубатовское,Заказник республиканского значения,Гродненская,Сморгонский
26200,9000003074,Черневский,Заказник республиканского значения,Минская,Борисовский
26201,9000003075,Денисовичский,Заказник республиканского значения,Минская,Крупский
26202,9000003076,Антоново,Заказник республиканского значения,Минская,Логойский
26203,9000003077,Кайковский,Заказник республиканского значения,Минская,Минский
26204,9000003078,Лебяжий,Заказник республиканского значения,Минская,Минский
26205,9000003079,Прилукский,Заказник республиканского значения,Минская,Минский
26211,9000003085,Копыш,Заказник республиканского значения,Минская,Пуховичский
26212,9000003086,Мацевичское,Заказник республиканского значения,Минская,Пуховичский
26213,9000003087,Омельяновский,Заказник республиканского значения,Минская,Пуховичский
26214,9000003088,Фаличский Мох,Заказник республиканского значения,Минская,Стародорожский
26215,9000003089,Колосовский,Заказник республиканского значения,Минская,Столбцовский
26216,9000003090,Заозерье,Заказник республиканского значения,Могилевская,Белыничский
26217,9000003091,Острова Дулебы,Заказник республиканского значения,Могилевская,Белыничский
26218,9000003092,Старица,Заказник республиканского значения,Могилевская,Быховский
26219,1212903001,Брестский,Заказник районного значения,Брестская,Брестский
26221,1900003002,Борки,Заказник областного значения,Брестская,Ганцевичский
26222,1225903001,Непокойчицы,Заказник районного значения,Брестская,Жабинковский
26223,1900003003,Завишье,Заказник областного значения,Брестская,Ивановский
26224,1230903001,Оброво,Заказник районного значения,Брестская,Ивановский
26225,1234903001,Большой Яминец,Заказник районного значения,Брестская,Ганцевичский
26226,1234903002,Гривда,Заказник районного значения,Брестская,Ивацевичский
26227,1240903001,Ворохово,Заказник районного значения,Брестская,Каменецкий
26228,1240903002,Высокое,Заказник районного значения,Брестская,Каменецкий
26229,1240903003,Долбнево,Заказник районного значения,Брестская,Каменецкий
26230,1240903004,Тростяница,Заказник районного значения,Брестская,Каменецкий
26231,1243903001,Дивин-Великий Лес,Заказник районного значения,Брестская,Кобринский
26232,1243903002,Клища,Заказник районного значения,Брестская,Кобринский
26234,1250903001,Липск,Заказник районного значения,Брестская,Ляховичский
26235,1250903002,Цыгане,Заказник районного значения,Брестская,Ляховичский
26236,1900003005,Гусак,Заказник областного значения,Брестская,Малоритский
26237,1900003006,Хмелевка,Заказник областного значения,Брестская,Малоритский
26238,1254903001,Ермаки,Заказник районного значения,Брестская,Пинский
26239,1254903002,Изин,Заказник районного значения,Брестская,Пинский
26240,1254903003,Кончицы,Заказник районного значения,Брестская,Пинский
26241,1254903004,Подмост,Заказник районного значения,Брестская,Пинский
26242,1254903005,Ступское,Заказник районного значения,Брестская,Пинский
26243,1256903001,Выдренка,Заказник районного значения,Брестская,Пружанский
26244,1256903002,Зельвянка,Заказник районного значения,Брестская,Пружанский
26246,1258903001,Рухчанский,Заказник районного значения,Брестская,Столинский
26247,1900003007,Теребежово-Колоднянский,Заказник областного значения,Брестская,Столинский
26248,1204904001,"Парк ""Тугановичский""",Памятник природы районного значения,Брестская,Барановичский
26249,1204904002,"Старинный парк ""Верхне-Черняховский""",Памятник природы районного значения,Брестская,Барановичский
26250,1204904003,"Старинный парк ""Вольновский""",Памятник природы районного значения,Брестская,Барановичский
26251,1204904004,"Старинный парк ""Крошинский""",Памятник природы районного значения,Брестская,Барановичский
26252,1204904005,"Старинный парк ""Ястрембельский",Памятник природы районного значения,Брестская,Барановичский
26253,1208904001,Старинный парк г. Береза,Памятник природы районного значения,Брестская,Берёзовский
26254,1208904002,"Старинный парк ""Кабаки""",Памятник природы районного значения,Брестская,Берёзовский
26255,1208904003,"Старинный парк ""Старые пески""",Памятник природы районного значения,Брестская,Берёзовский
26256,1225904001,"Парк ""Малые Сехновичи""",Памятник природы районного значения,Брестская,Жабинковский
26257,1225904002,"Старинный парк ""Атечизна""",Памятник природы районного значения,Брестская,Жабинковский
26258,1234904001,Грудополь,Памятник природы районного значения,Брестская,Ивацевичский
26259,1240904001,Старинный парк г. Высокое,Памятник природы районного значения,Брестская,Каменецкий
26260,1900004001,"Старинный парк ""Гремяча""",Памятник природы областного значения,Брестская,Каменецкий
26261,1900004002,"Старинный парк ""Репихово""",Памятник природы областного значения,Брестская,Ляховичский
26262,1252904001,Гора меловая с валунами,Памятник природы районного значения,Брестская,Малоритский
26263,1252904002,Збуражская гряда,Памятник природы районного значения,Брестская,Малоритский
26264,1900004003,Мокранская дюна,Памятник природы областного значения,Брестская,Малоритский
26265,1252904003,Орлянская дюна,Памятник природы районного значения,Брестская,Малоритский
26266,1252904004,"Старинный парк ""Великорита""",Памятник природы районного значения,Брестская,Малоритский
26267,1252904005,"Парк ""Нижне-Теребежовский""",Памятник природы районного значения,Брестская,Столинский
26268,1252904006,Хотиславская дюна,Памятник природы районного значения,Брестская,Малоритский
26269,1900004004,Старинный парк г. Пружаны,Памятник природы областного значения,Брестская,Пружанский
26270,1900004005,"Старинный парк ""Ново-Бержновский""",Памятник природы областного значения,Брестская,Столинский
26271,2205903001,Соржицкий мох,Заказник районного значения,Витебская,Бешенковичский
26273,2210903001,Дендропарк Верхнедвинского лесхоза,Заказник районного значения,Витебская,Верхнедвинский
26274,2210903002,Освейский,Заказник районного значения,Витебская,Верхнедвинский
26275,2210903003,Подары,Заказник районного значения,Витебская,Верхнедвинский
26276,2210903004,Поляны,Заказник районного значения,Витебская,Верхнедвинский
26277,2210903005,Сарьянский,Заказник районного значения,Витебская,Верхнедвинский
26278,2210903006,Юстияново,Заказник районного значения,Витебская,Верхнедвинский
26279,2212903001,Витебский,Заказник районного значения,Витебская,Витебский
26280,2212903002,Октябрьский,Заказник районного значения,Витебская,Витебский
26281,2212903003,Придвинье,Заказник районного значения,Витебская,Витебский
26282,2212903004,Чертова борода,Заказник районного значения,Витебская,Витебский
26283,2900003001,Голубицкая пуща,Заказник областного значения,Витебская,Глубокский
26284,2215903001,Зеленая Дубрава,Заказник районного значения,Витебская,Глубокский
26285,2218903001,Ловать,Заказник районного значения,Витебская,Городокский
26286,2218903002,Поташенский,Заказник районного значения,Витебская,Городокский
26287,2218903003,Тиосто,Заказник районного значения,Витебская,Городокский
26288,2221903001,Зуйка,Заказник районного значения,Витебская,Докшицкий
26289,2224903001,Осинторфский,Заказник районного значения,Витебская,Дубровенский
26290,2227903002,Какисино,Заказник районного значения,Витебская,Лепельский
26291,2227903003,Клетище,Заказник районного значения,Витебская,Лепельский
26293,2246903001,Скрипутёво,Заказник районного значения,Витебская,Толочинский
26294,2249903001,Глыбочанский,Заказник районного значения,Витебская,Ушачский
26295,2249903002,Черствятский,Заказник районного значения,Витебская,Ушачский
26296,2251903001,Сосняги,Заказник районного значения,Витебская,Чашникский
26297,2251903003,Зеленое лядо,Заказник районного значения,Витебская,Чашникский
26298,2900003004,Стречно,Заказник областного значения,Витебская,Шарковщинский
26299,2205904001,Парк гп Бешенковичи,Памятник природы районного значения,Витебская,Бешенковичский
26300,2900004001,Парк д. Двор Низголово,Памятник природы областного значения,Витебская,Бешенковичский
26301,2205904002,"Парк ""Соломинка""",Памятник природы районного значения,Витебская,Бешенковичский
26304,2900004005,"Парк ""Бельмонты""",Памятник природы областного значения,Витебская,Браславский
26305,2900004006,"Парк ""Видзы-Ловчинские""",Памятник природы областного значения,Витебская,Браславский
26307,2212904001,Лужеснянский дендропарк,Памятник природы районного значения,Витебская,Витебский
26308,2215904001,Зябковская возвышенность,Памятник природы районного значения,Витебская,Глубокский
26309,2215904002,Ковалевская гора,Памятник природы районного значения,Витебская,Глубокский
26310,2215904003,Медведковский оз,Памятник природы районного значения,Витебская,Глубокский
26311,2900004007,Парк в с. Залесье,Памятник природы областного значения,Витебская,Глубокский
26312,2215904004,"Холм ""Горватский""",Памятник природы районного значения,Витебская,Глубокский
26313,2218904001,Удебненская гряда,Памятник природы районного значения,Витебская,Городокский
26314,2224904001,Долина р. Чижовка,Памятник природы районного значения,Витебская,Дубровенский
26315,2224904002,Карьер льнозавода,Памятник природы районного значения,Витебская,Дубровенский
26317,2236904001,Дендросад,Памятник природы районного значения,Витебская,Оршанский
26318,2900004008,"Старинный парк ""Высокое""",Памятник природы областного значения,Витебская,Оршанский
26319,2900004009,"Старинный парк ""Межево""",Памятник природы областного значения,Витебская,Оршанский
26320,2240904001,Гора Великая,Памятник природы районного значения,Витебская,Поставский
26321,2240904002,Жуперская Гряда,Памятник природы районного значения,Витебская,Поставский
26322,2900004010,Парк гп Лынтупы,Памятник природы областного значения,Витебская,Поставский
26323,2240904003,Бородинский Пригорок,Памятник природы районного значения,Витебская,Поставский
26324,2240904004,Чернецкий Пригорок,Памятник природы районного значения,Витебская,Поставский
26325,2255904001,Гора Федотова,Памятник природы районного значения,Витебская,Шарковщинский
26326,2255904002,Гряда Зенкевича,Памятник природы районного значения,Витебская,Шарковщинский
26327,2255904003,Быстрицкая Долина,Памятник природы районного значения,Витебская,Шарковщинский
26328,2255904004,Местечковая Долина,Памятник природы районного значения,Витебская,Шарковщинский
26329,2255904005,"Парк ""Городец""",Памятник природы районного значения,Витебская,Шарковщинский
26330,2255904006,"Парк ""Юзефово""",Памятник природы районного значения,Витебская,Шарковщинский
26331,3205903001,Белуга,Заказник районного значения,Гомельская,Буда-Кошелевский
26332,3205903002,Острова,Заказник районного значения,Гомельская,Буда-Кошелевский
26333,3205903003,Протово,Заказник районного значения,Гомельская,Буда-Кошелевский
26334,3205903004,Соловьевское,Заказник районного значения,Гомельская,Буда-Кошелевский
26335,3205903005,Чистолужье,Заказник районного значения,Гомельская,Буда-Кошелевский
26336,3210903001,Зоологический,Заказник районного значения,Гомельская,Гомельский
26338,3216903001,Булев Мох,Заказник районного значения,Гомельская,Житковичский
26339,3218903001,Александровский Мох,Заказник районного значения,Гомельская,Жлобинский
26340,3218903002,Дубовка,Заказник районного значения,Гомельская,Жлобинский
26341,3218903003,Канавное,Заказник районного значения,Гомельская,Жлобинский
26342,3218903004,Мох,Заказник районного значения,Гомельская,Жлобинский
26343,3218903005,Орли,Заказник районного значения,Гомельская,Жлобинский
26344,3218903006,Ровеки,Заказник районного значения,Гомельская,Жлобинский
26345,3218903007,Рыгорава Паляна,Заказник районного значения,Гомельская,Жлобинский
26356,3228903001,Букчанский,Заказник районного значения,Гомельская,Лельчицкий
26357,3228903002,Урочище Заручевье,Заказник районного значения,Гомельская,Лельчицкий
26358,3228903003,Засадище,Заказник районного значения,Гомельская,Лельчицкий
26359,3228903004,Лельчицкое-Свидовец,Заказник районного значения,Гомельская,Лельчицкий
26360,3228903005,Лохницкое,Заказник районного значения,Гомельская,Лельчицкий
26361,3228903006,Луговое,Заказник районного значения,Гомельская,Лельчицкий
26362,3228903007,Манчицы,Заказник районного значения,Гомельская,Лельчицкий
26363,3228903008,Невица,Заказник районного значения,Гомельская,Лельчицкий
26364,3228903009,Великая Бель,Заказник районного значения,Гомельская,Лельчицкий
26365,3228903010,Плотница,Заказник районного значения,Гомельская,Лельчицкий
26366,3228903011,Речица,Заказник районного значения,Гомельская,Лельчицкий
26367,3228903012,Топиловское,Заказник районного значения,Гомельская,Лельчицкий
26368,3228903013,Урочище Берин,Заказник районного значения,Гомельская,Лельчицкий
26369,3235903001,Автуть,Заказник районного значения,Гомельская,Мозырский
26370,3235903002,Алес,Заказник районного значения,Гомельская,Мозырский
26371,3235903003,Белая,Заказник районного значения,Гомельская,Мозырский
26372,3235903004,Драгва,Заказник районного значения,Гомельская,Мозырский
26373,3235903005,Моисеевское,Заказник районного значения,Гомельская,Мозырский
26374,3235903006,Островное,Заказник районного значения,Гомельская,Мозырский
26375,3235903007,Перевесье,Заказник районного значения,Гомельская,Мозырский
26376,3235903008,Стрельский,Заказник районного значения,Гомельская,Мозырский
26377,3235903009,Чертень,Заказник районного значения,Гомельская,Мозырский
26378,3235903010,Ясинец,Заказник районного значения,Гомельская,Мозырский
26379,3240903001,Ратмировичский,Заказник районного значения,Гомельская,Октябрьский
26380,3243903001,Белев,Заказник районного значения,Гомельская,Петриковский
26381,3243903002,Бобриковский,Заказник районного значения,Гомельская,Петриковский
26383,3243903004,Винкеров Мох,Заказник районного значения,Гомельская,Петриковский
26384,3243903005,Воронецкий Мох,Заказник районного значения,Гомельская,Петриковский
26386,3243903007,Комаровичский,Заказник районного значения,Гомельская,Петриковский
26391,3243903012,Снопище,Заказник районного значения,Гомельская,Петриковский
26396,3245903004,Закрошинский мох,Заказник районного значения,Гомельская,Речицкий
26403,3247903002,Белое,Заказник районного значения,Гомельская,Рогачёвский
26406,3247903005,Брусничное-Перейны,Заказник районного значения,Гомельская,Рогачёвский
26408,3247903007,Великое Озеро,Заказник районного значения,Гомельская,Рогачёвский
26409,3247903008,Гладыши,Заказник районного значения,Гомельская,Рогачёвский
26412,3247903011,Зазерье-Бадеево,Заказник районного значения,Гомельская,Рогачёвский
26418,3247903017,Пенный Мох,Заказник районного значения,Гомельская,Рогачёвский
26426,3247903025,Святое Озеро,Заказник районного значения,Гомельская,Рогачёвский
26427,3247903026,Спрованово,Заказник районного значения,Гомельская,Рогачёвский
26428,3247903027,Тумень,Заказник районного значения,Гомельская,Рогачёвский
26429,3247903028,Улицы,Заказник районного значения,Гомельская,Рогачёвский
26430,3250903001,Воротень,Заказник районного значения,Гомельская,Светлогорский
26431,3250903002,Кучинский Мох,Заказник районного значения,Гомельская,Светлогорский
26432,3250903003,Переходы,Заказник районного значения,Гомельская,Светлогорский
26433,3250903004,Светлогорский,Заказник районного значения,Гомельская,Светлогорский
26434,3900004001,Насаждения сосны,Памятник природы областного значения,Гомельская,Гомельский
26435,9000004332,"""Островные ельники Добрушские""",Памятник природы республиканского значения,Гомельская,Добрушский
26436,3214904001,Дубрава,Памятник природы районного значения,Гомельская,Ельский
26438,3214904003,Насаждение сосны,Памятник природы районного значения,Гомельская,Ельский
26439,3218904001,Чашевка,Памятник природы районного значения,Гомельская,Жлобинский
26440,3223904001,Уникальный участок леса насаждения сосны,Памятник природы районного значения,Гомельская,Калинковичский
26441,3223904002,"Уникальный участок леса насаждения дуба, ясеня",Памятник природы районного значения,Гомельская,Калинковичский
26442,3223904003,"Парк ""Липово""",Памятник природы районного значения,Гомельская,Калинковичский
26443,3223904004,Сосняк,Памятник природы районного значения,Гомельская,Калинковичский
26445,3900004003,Дубрава,Памятник природы областного значения,Гомельская,Лоевский
26446,3230904002,Михалевка,Памятник природы районного значения,Гомельская,Лоевский
26448,3235904001,"Клюквенник ""Качуры""",Памятник природы районного значения,Гомельская,Мозырский
26449,3235904002,Насаждение сосны,Памятник природы районного значения,Гомельская,Мозырский
26450,3235904003,Клюквенник  в Романовском лесничестве,Памятник природы районного значения,Гомельская,Мозырский
26451,3235904004,Участки дуба черешчатого,Памятник природы районного значения,Гомельская,Мозырский
26453,3900004004,Парк гп Наровля,Памятник природы областного значения,Гомельская,Наровлянский
26454,3900004005,Участок произрастания сосны об,Памятник природы областного значения,Гомельская,Наровлянский
26455,3240904001,Дубовая роща,Памятник природы районного значения,Гомельская,Октябрьский
26456,3240904002,Сосновая роща,Памятник природы районного значения,Гомельская,Октябрьский
26457,3243904001,Дубрава в кв.52,Памятник природы районного значения,Гомельская,Петриковский
26458,3243904002,Дубрава в кв.85,Памятник природы районного значения,Гомельская,Петриковский
26459,3243904003,Дубрава в кв. 61,Памятник природы районного значения,Гомельская,Петриковский
26461,3243904004,"Парк ""Шкляревского""",Памятник природы районного значения,Гомельская,Петриковский
26462,3900004007,Насаждения дуба,Памятник природы областного значения,Гомельская,Речицкий
26465,3247904001,Дубрава,Памятник природы районного значения,Гомельская,Рогачёвский
26466,3247904002,"Парк ""Кистени""",Памятник природы районного значения,Гомельская,Рогачёвский
26467,3900004010,Парк в д Борисовщина,Памятник природы областного значения,Гомельская,Хойникский
26468,3254904001,"Парк ""Хойники""",Памятник природы районного значения,Гомельская,Хойникский
26469,4900003001,Берестовицкий,Заказник областного значения,Гродненская,Берестовицкий
26470,4213903001,Александрийские пригорки,Заказник районного значения,Гродненская,Вороновский
26471,4900003002,Вороновский,Заказник областного значения,Гродненская,Вороновский
26472,4213903002,Мешкалы,Заказник районного значения,Гродненская,Вороновский
26473,4213903003,Пелясские гряды увалы,Заказник районного значения,Гродненская,Вороновский
26474,4213903004,Стефанецкие пригорки,Заказник районного значения,Гродненская,Вороновский
26475,4220903001,Гродненский,Заказник районного значения,Гродненская,Гродненский
26476,4220903002,Гродненский,Заказник районного значения,Гродненская,Гродненский
26477,4223903001,Ведровичи-Ясенец,Заказник районного значения,Гродненская,Дятловский
26479,4223903003,Каменка,Заказник районного значения,Гродненская,Дятловский
26480,4223903004,Котовщина,Заказник районного значения,Гродненская,Дятловский
26482,4223903006,Лусковицы,Заказник районного значения,Гродненская,Дятловский
26483,4223903007,Лихомочье,Заказник районного значения,Гродненская,Дятловский
26485,4223903009,Тростянка-Моргаль,Заказник районного значения,Гродненская,Дятловский
26493,4233903001,Горно-Рутковские Яры,Заказник районного значения,Гродненская,Кореличский
26494,4233903002,Турецкие гряды,Заказник районного значения,Гродненская,Кореличский
26496,4240903001,Гомшары,Заказник районного значения,Гродненская,Мостовский
26503,4243903001,Вселюбский,Заказник районного значения,Гродненская,Новогрудский
26504,4246903001,"Озеро ""Бык""",Заказник районного значения,Гродненская,Островецкий
26506,4246903003,Сержанты,Заказник районного значения,Гродненская,Островецкий
26507,3900004011,Дубрава,Памятник природы областного значения,Гомельская,Мозырский
26526,4249903001,Клева,Заказник районного значения,Гродненская,Ошмянский
26527,4249903002,Новоселки,Заказник районного значения,Гродненская,Ошмянский
26529,4254903001,Борковский концовоморенный массив,Заказник районного значения,Гродненская,Слонимский
26530,4254903002,Загорьевский концовоморенный массив,Заказник районного значения,Гродненская,Слонимский
26532,4256903001,Голубые озёра,Заказник районного значения,Гродненская,Сморгонский
26534,4256903002,Мартишки (Березы),Заказник районного значения,Гродненская,Сморгонский
26536,4258903001,Щенец,Заказник районного значения,Гродненская,Щучинский
26537,4258903002,Щучинский,Заказник районного значения,Гродненская,Щучинский
26538,4213904001,Гудинишкинская гряда,Памятник природы районного значения,Гродненская,Вороновский
26539,4213904002,Дубинцовский пригорок,Памятник природы районного значения,Гродненская,Вороновский
26540,4213904003,Мантунская гряда,Памятник природы районного значения,Гродненская,Вороновский
26541,4213904004,Пущанская гора,Памятник природы районного значения,Гродненская,Вороновский
26542,4401904001,"Лесопарк ""Румлево""",Памятник природы районного значения,Гродненская,Гродненский
26543,4226903001,Вишневка,Заказник районного значения,Гродненская,Зельвенский
26544,4226903002,Коревин луг,Заказник районного значения,Гродненская,Зельвенский
26545,4229904001,"Гора ""Маяк""",Памятник природы районного значения,Гродненская,Ивьевский
26546,4229904002,Котловина Ройста,Памятник природы районного значения,Гродненская,Ивьевский
26547,4233904001,Березовецкий пригорок,Памятник природы районного значения,Гродненская,Кореличский
26548,4233904002,Загорьевский пригорок,Памятник природы районного значения,Гродненская,Кореличский
26549,4233904003,Песочненская гряда,Памятник природы районного значения,Гродненская,Кореличский
