X,Y,OBJECTNUMB,NAMEOBJECT,NAME
26.9596834572893,53.0183212444126,18882,Ìàëèíîâêà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.9986587287831,53.0057480643014,18881,Ëåøíÿ,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.9880663831091,52.9809495764255,18879,Êèåâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.9247277569714,52.998031290807,18885,Îñòðîâî,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.0625900282265,53.0126552287129,18876,Äåðå÷èíî,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.0509667198177,53.0112452424362,18873,Áëåâ÷èöû,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.0949789706323,53.0333059060067,18884,Íîâèíêè,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.1962171379077,53.128713070384,18994,Ñòàíüêè,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.2134817760387,53.0973862517705,18984,Äîêòîðîâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.2973292337215,53.1466076938213,18983,Ãîðíîñòàéëîâî,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.2495996243031,53.1123460483206,18985,Çàêîïàíêà,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.2791815762418,53.1077119577994,18980,Àòêóëîâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.1904324063782,53.0551367083714,18992,Ñàâêîâî,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.1253937476625,53.0669343321308,18982,Âàñèëü÷èöû,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.145605367718,53.0585728582103,18997,×èæåâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.1442470294594,53.1153088531082,18987,Ëàçþêè,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.1064884398029,53.0934046469145,18993,Ñìû÷êà,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.1558003586487,53.1303740577792,19026,Êåëü,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.1669973330171,53.1469171105458,19029,Ìîçîëè,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.1867858226883,53.1418508101644,19031,Íîâîñàäû,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.1151569382117,53.1545168440558,19025,Êàìåíùèíà,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.1172730239241,53.2034850052471,19023,Äóñàåâùèíà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.0782463653122,53.2087505325966,19034,Ñòàðûé Êîïûëü,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.0392154280565,53.1971117737257,19030,Íèçêîâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.1286594448613,53.1731375015063,19020,Âàñèëåâùèíà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.1828161818251,53.2509796245359,19084,Ñëîáîäà-Êó÷èíêà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.1449868135815,53.2550995692803,19068,Âåëåøèíî-2,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.2087747474094,53.2805952495327,19064,Àñòðåéêè,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.1829847486818,53.2848152164514,19074,Êðèíèöà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.2689428166401,53.2762296978993,19073,Êîðçóíû,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.1956271180567,53.2773150788012,19075,Ëèïíèêè,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.2128842701147,53.2555968854009,19070,Çàïîëüå,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.1786160111242,53.1993693649567,19063,Àíäðîñîâùèíà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.3334107785733,53.2904813169326,19066,Áîð,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.2285788679518,53.1969631677939,19071,Êàëèíîâêà-1,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.237183405466,53.3049207259003,19078,Ïåðåâîç,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.0382378888006,53.061189531018,19093,Ðà÷êåâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.9079095990599,52.9182384303442,19057,Êàëèíèíî,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
26.9117485666084,52.9308512146572,19058,×èðâîíàÿ Äóáðàâà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.9148801586867,52.9769594770646,19061,Ôèëèïîâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.4039129154414,53.1931915312996,18977,Ñòàðîñåëüå,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.414932872662,53.1442153906927,18969,Çàãîðîâùèíà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.4278312529894,53.1534002846185,18971,Êðàñíàÿ Ãîðêà,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.3652079462306,53.1389724456438,18963,Ãðèâåíü,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.3299652464819,53.1716911888844,18964,Ãðîçîâî,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
27.3307407726259,53.1952509449092,18975,Ðûìàòîâùèíà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.2694743216035,53.181651264952,18967,Åâñååâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.3109664643637,53.1871293714576,18961,Àêñàìèòû,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.9692937576567,53.2972453937429,18896,Çàñòåáüå,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.9354123669522,53.3452293206029,18908,Ðóäíèêè,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.9132336497523,53.2964547425988,18913,ßçâèíû,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.9420203669743,53.2264931751557,18891,Âûíÿ,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.9861488272966,53.2778136716325,18904,Ëîòâèíû,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.9736517898424,53.3070658200626,18905,Íîâàÿ Ãóòà,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
26.9435216480407,53.2840487627544,18893,Çàáîëîòüå,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.0228213244423,53.2956355711981,18911,Òåëÿäîâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.0661097242584,53.2467733212322,18892,Äóìè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.0632461081613,53.3061207161139,18895,Çàðóäíîå,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.1106394021036,53.2501585839574,18903,Ëåòêîâùèíà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.1199622458207,53.2615666636175,18909,Ðóäíè÷êè,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
26.9972298394552,53.2947395084872,18897,Êëåòèùå,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.0207829631593,53.2840367655504,18912,Öàãåëüíÿ,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.0888833888629,53.2840155334022,18901,Ëåíèíî,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
27.9995598651837,52.7642092486052,19767,Îðëåâî,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
30.6160265164188,53.7146496286493,25650,Áåñ÷èíüå,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
30.8933921120401,53.7462891764053,25603,Àíòîíîâêà,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
23.3705458000351,52.3688368990068,1121,Âûñîêîå,Ãîðîä ðàéîííîãî ïîä÷èíåíèÿ-ÀÒÅ
28.7765418299506,55.461729638355,6957,Áåëü÷èöà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
23.6233503007481,51.8400228862754,27531,Îëüõà,Ñåëüñêèé íàñåëåííûé ïóíêò - õóòîð
27.1091795185139,54.2631671409893,20507,×èñòü,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
23.84998636386,52.1387171688812,503,Êîøåëåâî,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
23.7793033292711,52.2297842709976,536,Îìåëèííî,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
23.4346362885864,52.2207600734924,463,Âåëüÿìîâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
29.966569066073,53.9347900166266,22700,Ðàôîëîâî,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.6814326493605,52.9005635986363,18793,Äðàáîâùèíà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.1828309953707,52.851786076601,21733,Êðàñíàÿ Ñëîáîäà,Ïîñåëîê ãîðîäñêîãî òèïà - ãîðîäñêîé ïîñåëîê-ÀÒÅ
30.2111393983319,52.3195754751282,11629,Êîçüå,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
28.9219184530213,54.8865682945767,27933,Çàñëîíîâî,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
28.7103852736892,52.924427761616,23352,Êàëàòè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
28.5247950120475,52.7144305941374,23434,Ñòÿã,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
28.5003372063158,52.7191149657033,23433,Ñëàâêîâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
28.6640996376866,52.8959391276888,23453,Õâàñòîâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.7853053660409,52.8976224403455,19694,Äîðîñèíî,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.8413979161362,52.9362646122524,19689,Êðóïåíèêè,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
30.6474202863928,52.6420880689881,9616,Ïåí÷èí,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
27.9295897074137,52.8011596115333,19787,Êîñòþêè,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
28.8522515462326,52.8892987001944,23418,Çàñòåíîê Óñòåðõè,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
29.0349231756908,55.6037635457974,6889,Íîâàÿ Ïîëîòà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
28.4963047655104,55.2802449987915,6661,Ïîäîçåðüå,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
