"OBJECTNUMB,N,19,11","NAMEOBJECT,C,50","NAMEREGION,C,50","NAMEDISTR,C,50","NAMESETTLE,C,50","XCOORD,N,19,11","YCOORD,N,19,11"
"72131,00000000000","""Автомобилист-82""",Минская обл.,Смолевичский р-н,д. Калита,"53,81919391910","27,89486164990"
"72134,00000000000","""Алеся"" Смолевичский район",Минская обл.,Смолевичский р-н,д. Самсоновка,"53,85682910550","27,92182631720"
"72135,00000000000","""Амкодор-1""",Минская обл.,Смолевичский р-н,д. Орешники,"53,99466634840","27,96934006130"
"72137,00000000000","""Атлант-2""",Минская обл.,Смолевичский р-н,д. Дубровка,"53,95989622440","27,89875500960"
"72143,00000000000","""Белстандарт""",Минская обл.,Смолевичский р-н,д. Подыгрушье,"54,00235043630","27,98622408840"
"72141,00000000000","""Белые росы""",Минская обл.,Смолевичский р-н,д. Переездная,"53,98927886190","27,91019100080"
"72142,00000000000","""Березовая гора""",Минская обл.,Смолевичский р-н,д. Березовая Гора,"53,86237325510","27,92139070220"
"72145,00000000000","""Бульбяш""",Минская обл.,Смолевичский р-н,д. Домашаны,"53,99963426480","27,94129256990"
"72148,00000000000","""Быкачено""",Минская обл.,Смолевичский р-н,д. Быкачино,"53,88959558760","27,97990535710"
"72147,00000000000","""Бытовик-1""",Минская обл.,Смолевичский р-н,д. Переездная,"53,98808176940","27,89704367220"
"72149,00000000000","""Вежа-89""",Минская обл.,Смолевичский р-н,д. Волма,"53,89981147660","27,89640486100"
"72150,00000000000","""Верасок-2008""",Минская обл.,Смолевичский р-н,д. Загорье,"54,00355959650","28,00249725330"
"72153,00000000000","""Веснянка""",Минская обл.,Смолевичский р-н,д. Домашаны,"53,99462897570","27,93736100360"
"72151,00000000000","""Ветеран"" Первомайского РВК г.Минска",Минская обл.,Смолевичский р-н,д. Переездная,"53,98728740590","27,89128332830"
"72152,00000000000","""Ветераны войны Загорья""",Минская обл.,Смолевичский р-н,д. Загорье,"54,01526356360","28,01541669670"
"72158,00000000000","""Вита-1""",Минская обл.,Смолевичский р-н,д. Переездная,"53,98909125330","27,90216245700"
"72154,00000000000","""Водопад""",Минская обл.,Смолевичский р-н,д. Скураты,"54,00909754790","27,95573590200"
"72155,00000000000","""Волна-1""",Минская обл.,Смолевичский р-н,д. Переездная,"53,98925193880","27,89593523910"
"72157,00000000000","""Восход-Грядки""",Минская обл.,Смолевичский р-н,д. Грядки,"54,11786268820","28,26806929220"
"72159,00000000000","""Газ-Магистраль""",Минская обл.,Смолевичский р-н,д. Подыгрушье,"54,00296249560","27,99283893650"
"72160,00000000000","""Галург""",Минская обл.,Смолевичский р-н,д. Скураты,"54,00692717230","27,96401278590"
"72161,00000000000","""Геолог-СМ""",Минская обл.,Смолевичский р-н,д. Скураты,"53,99922798690","27,95599463260"
"72162,00000000000","""Голубая радуга"" Смолевичский район",Минская обл.,Смолевичский р-н,д. Загорье,"54,00466678830","27,99807746880"
"82773,00000000000","""Голубое небо""",Минская обл.,Смолевичский р-н,д. Лютка,"54,11234753440","28,19488649550"
"72164,00000000000","""Гранит-2002""",Минская обл.,Смолевичский р-н,д. Березовая Гора,"53,86351422910","27,92577636320"
"72165,00000000000","""Дарьюшка""",Минская обл.,Смолевичский р-н,д. Гончаровка,"53,98971381340","27,93166197320"
"72166,00000000000","""Домашаны""",Минская обл.,Смолевичский р-н,д. Скураты,"53,99720164000","27,95478986240"
"72167,00000000000","""Домашаны-2""",Минская обл.,Смолевичский р-н,д. Скураты,"53,99366262600","27,94297223930"
"72168,00000000000","""Дорожник"" Смолевичский район",Минская обл.,Смолевичский р-н,д. Калита,"53,81874186590","27,89081425310"
"72171,00000000000","""Друкар""",Минская обл.,Смолевичский р-н,д. Скураты,"54,00680746640","27,97515265320"
"72169,00000000000",Дубрава-88,Минская обл.,Смолевичский р-н,д. Скураты,"54,00605378690","27,95558268910"
"72170,00000000000","""Дубрава"" МЗСМ",Минская обл.,Смолевичский р-н,д. Скураты,"54,00577819000","27,96607901210"
"72172,00000000000",Журавинка,Минская обл.,Смолевичский р-н,д. Точилище,"54,13512193990","28,13975211650"
"72173,00000000000",Журналист-ИНФО,Минская обл.,Смолевичский р-н,д. Скураты,"53,99545812980","27,94740526070"
"72175,00000000000","""Загорье-1""",Минская обл.,Смолевичский р-н,д. Загорье,"54,00464466020","28,01040725600"
"72176,00000000000","""Загорье-3""",Минская обл.,Смолевичский р-н,д. Скураты,"54,00943909280","27,96907776460"
"72174,00000000000","""Загорье"" Смолевичского района",Минская обл.,Смолевичский р-н,д. Загорье,"54,00077270990","27,99358960700"
"72177,00000000000","""Зареченская Дружба""",Минская обл.,Смолевичский р-н,д. Калита,"53,81786207230","27,88740043530"
"72243,00000000000","""Зареченский Строитель""",Минская обл.,Смолевичский р-н,д. Плющай,"53,81895252420","27,90235959610"
"72178,00000000000","""Заря"" г.Жодино",Минская обл.,Смолевичский р-н,д. Новые Грядки,"54,10737641060","28,27432521270"
