id,region_id,lat,lng,title
100664041,2487,44.850000,25.480000,Văcăreşti
100664069,2463,44.020000,23.550000,Urzicuţa
100664074,2499,44.720000,26.630000,Urziceni
100664150,2468,44.980000,26.230000,Urlaţi
100664152,2488,47.200000,24.050000,Uriu
100664163,2493,45.330000,23.150000,Uricani
100664169,2471,46.130000,27.080000,Urecheşti
100664170,2482,45.600000,27.070000,Urecheşti
100664175,2483,47.170000,26.520000,Urecheni
100664184,2485,44.800000,23.300000,Urdari
100664193,2478,47.800000,26.780000,Unţeni
100664204,2492,44.270000,27.630000,Unirea
100664205,2463,44.150000,23.180000,Unirea
100664215,2478,47.880000,26.780000,Ungureni-Jianu
100664226,2471,46.520000,26.950000,Ungureni
100664261,2476,47.120000,24.050000,Unguraş
100664266,2467,47.200000,27.780000,Ungheni
100664271,2475,46.480000,24.470000,Ungheni
100664273,2473,44.500000,24.970000,Ungheni
100664281,2465,45.720000,27.470000,Umbrăreşti
100664286,2469,44.950000,27.320000,Ulmu
100664294,2487,44.900000,25.500000,Ulmi
100664295,2494,44.490000,25.780000,Ulmi
100664311,2476,47.470000,23.300000,Ulmeni
100664312,2477,45.070000,26.650000,Ulmeni
100664314,2492,44.150000,26.720000,Ulmeni
100664329,2487,44.580000,25.420000,Ulieşti
100664344,2462,45.660000,20.910000,Uivar
100664372,2481,47.570000,26.420000,Udeşti
100664397,2464,44.000000,28.630000,Tuzla
100664404,2491,46.120000,27.550000,Tutova
100664425,2479,47.930000,23.080000,Turulung
100664432,2479,47.980000,23.220000,Turţ
100664437,2500,43.750000,24.870000,Turnu Măgurele
100664447,2497,46.030000,26.050000,Turia
100664460,2461,46.570000,23.780000,Turda
100664464,2486,45.120000,28.180000,Turcoaia
100664475,2485,44.680000,23.370000,Turceni
100664481,2485,44.720000,23.520000,Turburea
100664493,2466,45.700000,25.850000,Teliu
100664502,2500,44.550000,26.150000,Tunari
100664505,2465,45.570000,28.030000,Tuluceşti
100664507,2482,45.920000,26.670000,Tulnici
100664511,2501,46.950000,25.770000,Tulgheş
100664518,2486,45.170000,28.800000,Tulcea
100664521,2470,46.780000,21.780000,Tulca
100664534,2463,44.180000,23.820000,Ţuglui
100664539,2469,45.050000,27.820000,Tufeşti
100664544,2490,44.370000,24.780000,Tufeni
100664564,2465,46.010000,28.020000,Suceveni
100664565,2465,45.570000,27.650000,Tudor Vladimirescu
100664566,2469,45.220000,27.800000,Tudor Vladimirescu
100664575,2478,47.520000,26.630000,Tudora
100664578,2478,47.770000,27.020000,Truşeşti
100664591,2500,44.000000,25.000000,Troianul
100664598,2500,44.270000,25.230000,Trivalea-Moşteni
100664602,2461,46.580000,24.000000,Tritenii de Jos
100664609,2467,47.450000,27.520000,Trifeşti
100664610,2483,46.920000,26.820000,Trifeşti
100664677,2483,46.630000,27.030000,Traian
100664680,2469,45.180000,27.730000,Traian
100664686,2486,44.020000,24.450000,Traian
100664716,2462,45.520000,21.490000,Tormac
100664722,2464,44.020000,28.450000,Topraisar
100664724,2494,44.010000,25.650000,Toporu
100664729,2473,44.820000,25.080000,Topoloveni
100664731,2462,45.770000,21.620000,Topolovăţu Mare
100664736,2486,44.880000,28.370000,Topolog
100664755,2477,45.420000,27.000000,Topliceni
100664759,2489,44.800000,22.390000,Topleţ
100664796,2480,45.120000,24.050000,Tomşani
100664797,2468,44.950000,26.280000,Tomşani
100664819,2462,47.120000,27.680000,Tomeşti
100664858,2491,47.700000,26.030000,Todireşti
100664859,2467,47.320000,26.830000,Todireşti
100664860,2491,46.850000,27.370000,Todireşti
100664865,2478,47.620000,27.120000,Todireni
100664891,2487,44.650000,25.530000,Titu
100664902,2473,45.020000,25.000000,Titeşti
100664910,2485,45.050000,22.970000,Tismana
100664922,2477,45.170000,26.520000,Tisău
100664938,2479,47.950000,23.350000,Târșolț
100664957,2472,46.320000,21.800000,Târnova
100664958,2489,45.340000,22.010000,Târnova
100664991,2471,46.270000,26.670000,Târgu Trotuș
100664999,2464,44.450000,28.420000,Târgușor
100665000,2497,46.000000,26.130000,Tîrgu Secuiesc
100665002,2471,46.280000,26.620000,Tîrgu Ocna
100665003,2483,47.200000,26.370000,Tîrgu Neamţ
100665004,2475,46.550000,24.570000,Târgu Mureş
100665010,2485,45.050000,23.280000,Târgu Jiu
100665013,2467,47.200000,27.000000,Târgu Frumos
100665017,2485,44.950000,23.520000,Târgu Cărbunești
100665019,2468,44.870000,25.920000,Târgșoru Vechi
100665024,2487,44.930000,25.450000,Târgovişte
100665050,2477,45.070000,26.870000,Ţinteşti
100665083,2484,44.570000,23.020000,Tâmna
100665087,2462,45.750000,21.230000,Timişoara
100665089,2483,47.230000,26.550000,Timişeşti
100665104,2470,47.070000,22.200000,Tileagd
100665110,2488,47.230000,24.770000,Tiha Bârgăului
100665113,2473,45.130000,24.580000,Tigveni
100665140,2473,43.900000,25.370000,Ţigăneşti
100665145,2484,47.330000,27.470000,Ţigănaşi
100665151,2491,45.850000,27.100000,Ţifeşti
100665168,2485,44.880000,23.400000,Ţicleni
100665176,2469,45.120000,27.900000,Tichileşti
100665182,2483,47.100000,26.530000,Ţibucani
100665193,2467,46.920000,27.330000,Ţibăneşti
100665196,2467,46.980000,27.330000,Ţibana
100665199,2490,43.870000,24.630000,Tia Mare
100665204,2480,44.750000,23.920000,Tetoiu
100665218,2490,44.520000,24.370000,Teslui
100665231,2462,45.940000,20.520000,Teremia Mare
100665235,2489,45.150000,22.280000,Teregova
100665277,2485,45.000000,23.080000,Teleşti
100665290,2468,45.130000,25.780000,Telega
100665304,2488,47.430000,24.400000,Telciu
100665318,2495,46.200000,23.680000,Teiuş
100665337,2468,45.230000,25.980000,Teişani
100665355,2465,45.870000,27.420000,Tecuci
100665359,2464,44.050000,28.600000,Techirghiol
100665371,2488,46.920000,24.520000,Teaca
100665377,2483,46.720000,26.470000,Tazlău
100665382,2476,47.650000,23.480000,Tăuții-Măgherăuș
100665387,2470,47.270000,22.330000,Tăuteu
100665425,2467,47.350000,26.600000,Tătăruşi
100665452,2482,45.520000,27.320000,Tătăranu
100665459,2487,45.000000,25.270000,Tătărani
100665469,2479,47.480000,22.580000,Tăşnad
100665471,2483,46.900000,26.020000,Taşca
100665479,2487,44.580000,25.810000,Tărtăşeşti
100665497,2466,45.630000,25.750000,Tărlungeni
100665521,2483,46.870000,26.130000,Tarcău
100665525,2470,46.630000,22.370000,Tărcaia
100665536,2467,46.920000,27.230000,Tansa
100665540,2499,44.650000,27.670000,Ţăndărei
100665550,2491,46.680000,27.820000,Tanacu
100665556,2471,46.480000,26.980000,Tamaşi
